StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017,MedianAQI_Norm
Missouri,Lee's Summit,"Lee's Summit, Missouri",33.1,10.4,35.8,0.452
Texas,Pharr,"Pharr, Texas",33.1,8.6,32.9,0.357
California,Santa Clarita,"Santa Clarita, California",33.1,9.9,49.1,0.889
Wisconsin,Waukesha,"Waukesha, Wisconsin",33.1,10.4,35.7,0.449
North Carolina,Wilmington,"Wilmington, North Carolina",33.1,13.2,36.6,0.479
Texas,Frisco,"Frisco, Texas",33,8.5,32.9,0.357
California,Santa Clara,"Santa Clara, California",33,9.4,49.1,0.889
Texas,League City,"League City, Texas",32.9,8.9,32.9,0.357
Oregon,Medford,"Medford, Oregon",32.9,13.1,28.7,0.22
Idaho,Nampa,"Nampa, Idaho",32.9,11.1,27.4,0.177
California,Thousand Oaks,"Thousand Oaks, California",32.9,9.9,49.1,0.889
Texas,Wichita Falls,"Wichita Falls, Texas",32.9,12.3,32.9,0.357
Illinois,Evanston,"Evanston, Illinois",32.7,10.6,36.2,0.466
Texas,Mesquite,"Mesquite, Texas",32.7,11.5,32.9,0.357
California,Napa,"Napa, California",32.7,9.7,49.1,0.889
Georgia,Roswell,"Roswell, Georgia",32.7,9.1,37.2,0.498
Oklahoma,Edmond,"Edmond, Oklahoma",32.6,11.8,35.4,0.439
Massachusetts,Newton,"Newton, Massachusetts",32.6,10.6,37.5,0.508
California,San Ramon,"San Ramon, California",32.6,8.6,49.1,0.889
Texas,Sugar Land,"Sugar Land, Texas",32.6,7.8,32.9,0.357
California,Sunnyvale,"Sunnyvale, California",32.6,8.5,49.1,0.889
Oregon,Gresham,"Gresham, Oregon",32.5,12.1,28.7,0.22
Texas,Pearland,"Pearland, Texas",32.5,9,32.9,0.357
Washington,Vancouver,"Vancouver, Washington",32.5,11.9,27,0.164
Utah,West Jordan,"West Jordan, Utah",32.5,10.2,44.2,0.728
Kansas,Kansas City,"Kansas City, Kansas",32.4,14.2,32.6,0.348
Texas,Plano,"Plano, Texas",32.4,8.5,32.9,0.357
California,Pleasanton,"Pleasanton, California",32.4,8.5,49.1,0.889
California,Orange,"Orange, California",32.3,9.2,49.1,0.889
Washington,Spokane,"Spokane, Washington",32.3,12.7,27,0.164
Minnesota,Brooklyn Park,"Brooklyn Park, Minnesota",32.2,9.7,31.6,0.315
California,Redding,"Redding, California",32.2,10.8,49.1,0.889
New Mexico,Albuquerque,"Albuquerque, New Mexico",32.1,12.2,31.9,0.325
Michigan,Ann Arbor,"Ann Arbor, Michigan",32.1,11.9,35.4,0.439
Texas,Carrollton,"Carrollton, Texas",32.1,9.2,32.9,0.357
California,Huntington Beach,"Huntington Beach, California",32,9.6,49.1,0.889
Missouri,O'Fallon,"O'Fallon, Missouri",32,9.3,35.8,0.452
Iowa,Davenport,"Davenport, Iowa",31.9,11.5,35.8,0.452
Illinois,Palatine,"Palatine, Illinois",31.9,8.5,36.2,0.466
Virginia,Virginia Beach,"Virginia Beach, Virginia",31.9,11.5,29.7,0.252
California,Burbank,"Burbank, California",31.8,9.6,49.1,0.889
North Carolina,Cary,"Cary, North Carolina",31.8,9.9,36.6,0.479
Minnesota,Duluth,"Duluth, Minnesota",31.8,10.1,31.6,0.315
California,Mission Viejo,"Mission Viejo, California",31.8,8.8,49.1,0.889
California,Santa Monica,"Santa Monica, California",31.8,9.3,49.1,0.889
North Dakota,Fargo,"Fargo, North Dakota",31.6,9.7,33.3,0.37
Utah,Layton,"Layton, Utah",31.6,9.6,44.2,0.728
Arizona,Scottsdale,"Scottsdale, Arizona",31.6,10.8,47.2,0.826
Massachusetts,New Bedford,"New Bedford, Massachusetts",31.5,15.2,37.5,0.508
Texas,Richardson,"Richardson, Texas",31.5,9.8,32.9,0.357
Oklahoma,Broken Arrow,"Broken Arrow, Oklahoma",31.4,11,35.4,0.439
Indiana,Fishers,"Fishers, Indiana",31.4,9.1,35.5,0.443
California,Irvine,"Irvine, California",31.3,8.5,49.1,0.889
Oregon,Portland,"Portland, Oregon",31.3,12,28.7,0.22
California,Redondo Beach,"Redondo Beach, California",31.3,8.3,49.1,0.889
California,San Diego,"San Diego, California",31.3,11,49.1,0.889
Oregon,Eugene,"Eugene, Oregon",31.2,13,28.7,0.22
New Mexico,Las Cruces,"Las Cruces, New Mexico",31.2,10.4,31.9,0.325
South Carolina,Mount Pleasant,"Mount Pleasant, South Carolina",31.2,8.6,35.6,0.446
California,San Francisco,"San Francisco, California",31.2,13.3,49.1,0.889
California,San Marcos,"San Marcos, California",31.2,9.8,49.1,0.889
California,San Mateo,"San Mateo, California",31.2,9.1,49.1,0.889
Minnesota,Rochester,"Rochester, Minnesota",31.1,8.8,31.6,0.315
Washington,Renton,"Renton, Washington",31,10.8,27,0.164
New Mexico,Rio Rancho,"Rio Rancho, New Mexico",31,10.8,31.9,0.325
California,Santa Maria,"Santa Maria, California",31,10.8,49.1,0.889
Utah,St. George,"St. George, Utah",31,9.8,44.2,0.728
Utah,West Valley City,"West Valley City, Utah",31,10.5,44.2,0.728
Arizona,Yuma,"Yuma, Arizona",31,11.6,47.2,0.826
Washington,Seattle,"Seattle, Washington",30.9,11.8,27,0.164
Oklahoma,Tulsa,"Tulsa, Oklahoma",30.9,14.2,35.4,0.439
New York,Yonkers,"Yonkers, New York",30.9,12.1,32.6,0.348
Iowa,Des Moines,"Des Moines, Iowa",30.7,11.1,35.8,0.452
Utah,Sandy,"Sandy, Utah",30.7,10.1,44.2,0.728
Indiana,Bloomington,"Bloomington, Indiana",30.6,11.6,35.5,0.443
Kansas,Overland Park,"Overland Park, Kansas",30.6,9.9,32.6,0.348
Oregon,Beaverton,"Beaverton, Oregon",30.5,10.9,28.7,0.22
Minnesota,Bloomington,"Bloomington, Minnesota",30.5,8.4,31.6,0.315
Illinois,Naperville,"Naperville, Illinois",30.5,8.8,36.2,0.466
South Dakota,Sioux Falls,"Sioux Falls, South Dakota",30.5,9.1,31.6,0.315
Minnesota,Minneapolis,"Minneapolis, Minnesota",30.4,10.8,31.6,0.315
South Carolina,Rock Hill,"Rock Hill, South Carolina",30.4,13.8,35.6,0.446
Colorado,Thornton,"Thornton, Colorado",30.4,11.6,36.4,0.472
Utah,Orem,"Orem, Utah",30.3,9.2,44.2,0.728
North Carolina,Asheville,"Asheville, North Carolina",30.2,11.5,36.6,0.479
Utah,Provo,"Provo, Utah",30.2,11.7,44.2,0.728
Nebraska,Lincoln,"Lincoln, Nebraska",30.1,10.8,28.6,0.216
California,Milpitas,"Milpitas, California",30.1,8,49.1,0.889
Michigan,Wyoming,"Wyoming, Michigan",30.1,11.4,35.4,0.439
Wisconsin,Appleton,"Appleton, Wisconsin",29.9,10.2,35.7,0.449
Iowa,Cedar Rapids,"Cedar Rapids, Iowa",29.9,10.5,35.8,0.452
Indiana,Carmel,"Carmel, Indiana",29.8,9.5,35.5,0.443
Utah,Salt Lake City,"Salt Lake City, Utah",29.8,10.8,44.2,0.728
Iowa,Sioux City,"Sioux City, Iowa",29.8,11.8,35.8,0.452
Texas,Austin,"Austin, Texas",29.7,10.9,32.9,0.357
Colorado,Colorado Springs,"Colorado Springs, Colorado",29.7,11.3,36.4,0.472
California,Newport Beach,"Newport Beach, California",29.6,9.3,49.1,0.889
Oregon,Bend,"Bend, Oregon",29.3,11,28.7,0.22
Vermont,Burlington,"Burlington, Vermont",29.2,12.4,29.3,0.239
Idaho,Meridian,"Meridian, Idaho",29.2,9.9,27.4,0.177
Washington,Auburn,"Auburn, Washington",28.9,11.3,27,0.164
Kansas,Lawrence,"Lawrence, Kansas",28.9,11.1,32.6,0.348
Colorado,Loveland,"Loveland, Colorado",28.8,9.9,36.4,0.472
Minnesota,Plymouth,"Plymouth, Minnesota",28.8,8,31.6,0.315
Colorado,Aurora,"Aurora, Colorado",28.7,11.4,36.4,0.472
Washington,Bellevue,"Bellevue, Washington",28.7,9.2,27,0.164
Montana,Billings,"Billings, Montana",28.7,11.1,30.8,0.289
Colorado,Centennial,"Centennial, Colorado",28.7,8.9,36.4,0.472
Colorado,Fort Collins,"Fort Collins, Colorado",28.4,11.7,36.4,0.472
Colorado,Greeley,"Greeley, Colorado",28.2,12.1,36.4,0.472
Iowa,Iowa City,"Iowa City, Iowa",28.2,11.6,35.8,0.452
Colorado,Denver,"Denver, Colorado",28.1,13.7,36.4,0.472
Montana,Missoula,"Missoula, Montana",27.8,10.3,30.8,0.289
Idaho,Boise City,"Boise City, Idaho",27.5,10.8,27.4,0.177
Colorado,Arvada,"Arvada, Colorado",26.8,11.2,36.4,0.472
Colorado,Lakewood,"Lakewood, Colorado",26.8,10.2,36.4,0.472
South Dakota,Rapid City,"Rapid City, South Dakota",26.8,10.4,31.6,0.315
California,Santa Barbara,"Santa Barbara, California",26.5,9.7,49.1,0.889
Colorado,Longmont,"Longmont, Colorado",26.2,9.7,36.4,0.472
Kansas,Olathe,"Olathe, Kansas",26,10.1,32.6,0.348
Colorado,Boulder,"Boulder, Colorado",25.9,11.2,36.4,0.472
